ID,Year,Jaccard_B,Horn_B,Chao_B,Pearson_B
41,1940,0.413407821,0.648991426,0.887514275,0.537539161
42,1950,0.678807947,0.970172274,1,0.872866746
42,1951,0.597014925,0.911822411,0.986379168,0.803188769
42,1952,0.611620795,0.924047681,0.989317633,0.829637222
42,1953,0.55952381,0.879336561,1,0.818711569
42,1954,0.52407932,0.840055861,1,0.798474319
42,1955,0.587628866,0.864414358,1,0.79783076
42,1956,0.550632911,0.828408565,1,0.749085523
42,1958,0.595394737,0.890687116,1,0.825457254
42,1959,0.514950166,0.836420569,0.992520808,0.75286719
42,1960,0.504918033,0.761082828,1,0.702120453
42,1961,0.5,0.770030065,0.943462335,0.674704582
42,1962,0.451038576,0.770288116,0.921395688,0.641813286
42,1963,0.399380805,0.60562561,0.859647047,0.532574691
42,1964,0.35218509,0.673238826,0.901185771,0.538830243
42,1965,0.368544601,0.721334545,0.872166975,0.581834216
42,1966,0.415422886,0.789133801,0.964925537,0.645798762
42,1967,0.345493562,0.784260538,0.987340392,0.595523022
42,1968,0.364628821,0.797462534,0.924057509,0.609398146
42,1969,0.33982684,0.778948413,0.961833404,0.594594592
42,1970,0.325431034,0.739315647,0.923409823,0.514146109
42,1971,0.337004405,0.744787484,0.814718355,0.457401117
42,1972,0.360986547,0.779495246,0.791593159,0.514250725
42,1973,0.344594595,0.740235902,0.827565135,0.49653446
42,1974,0.32079646,0.722206808,0.777174244,0.469469734
42,1975,0.35915493,0.77070271,0.951843411,0.598427165
42,1976,0.367788462,0.745460336,0.951987749,0.560304591
42,1977,0.362149533,0.75533193,0.986040446,0.562758433
42,1978,0.343601896,0.812031744,1,0.558644026
42,1979,0.349537037,0.752172466,0.886742944,0.557381646
44,1963,0.348102955,0.76855776,0.790395071,0.705133496
44,1964,0.285027254,0.550262734,0.676062221,0.540496291
44,1965,0.282989554,0.497919627,0.620832529,0.507428655
44,1966,0.483390032,0.825916216,0.861049713,0.71872467
44,1967,0.349857463,0.643846823,0.732543341,0.581898016
44,1968,0.319495006,0.605784014,0.709883288,0.526679843
44,1969,0.322687627,0.659379577,0.725959847,0.528287026
44,1970,0.312263532,0.643709811,0.698907752,0.501079691
44,1971,0.321514077,0.65175888,0.730754104,0.522493844
44,1972,0.338405807,0.681201533,0.767918795,0.549167119
44,1973,0.318231457,0.644264771,0.772247842,0.550071812
44,1974,0.331927299,0.612977807,0.754642301,0.6015741
44,1975,0.330691821,0.672919681,0.766730981,0.559152103
44,1976,0.363964485,0.677258733,0.781766323,0.632967829
44,1977,0.352501663,0.714832842,0.733851594,0.570303989
44,1979,0.023871222,0.145533494,0.705433886,0.457621743
44,1980,0.016456,0.328142993,0.642072344,0.510627513
44,1981,0.022029073,0.402987141,0.885007037,0.580938292
44,1983,0.012630694,0.352349253,0.697448026,0.473023752
44,1987,0.019191598,0.367028141,0.930706031,0.652001765
44,1990,0.087227936,0.259133817,0.903386071,0.616011943
44,1994,0.112156497,0.344792341,0.91031518,0.617465148
44,1997,0.139930357,0.412202534,0.819588683,0.592795438
44,2002,0.22321706,0.50833877,0.815413348,0.612055645
44,2008,0.223592818,0.501479756,0.852667594,0.650783331
45,2006,0.106616233,0.103271675,0.324185898,0.203072974
45,2007,0.081350375,0.097829063,0.296217971,0.157345303
45,2008,0.117587656,0.070760405,0.292705758,0.242038006
45,2009,0.095911987,0.096846294,0.320917408,0.207942553
45,2010,0.07918897,0.08633016,0.304502495,0.208576093
46,1929,0.839416058,0.992226265,1,0.947799285
46,1930,0.827338129,0.99255121,1,0.931444136
46,1931,0.863309353,0.993670617,1,0.947091151
46,1932,0.805555556,0.982192493,1,0.95620634
46,1933,0.78807947,0.985956453,1,0.966093657
46,1934,0.823943662,0.991062782,1,0.966769139
46,1935,0.795620438,0.981392965,1,0.962840734
46,1936,0.761538462,0.988795064,1,0.935470899
46,1937,0.703125,0.99444571,0.97205157,0.939086406
46,1938,0.787878788,0.993116199,1,0.936159626
46,1939,0.7890625,0.991203689,1,0.925836183
46,1940,0.736842105,0.979850208,1,0.912212537
46,1946,0.733333333,0.97519223,0.948134636,0.883757338
46,1947,0.590277778,0.898463415,0.88190952,0.889796166
46,1948,0.653846154,0.963400873,0.923846229,0.823848369
46,1949,0.625,0.963808599,0.858678717,0.814513247
46,1950,0.582010582,0.969008038,0.83292004,0.813937028
46,1951,0.588888889,0.908073604,0.848570355,0.821316626
46,1952,0.568527919,0.923847851,0.84458532,0.818154208
46,1953,0.56,0.938839179,0.840963784,0.806192538
46,1954,0.559405941,0.923741726,0.870332756,0.814189942
46,1955,0.560606061,0.926457364,0.861993963,0.825218859
46,1956,0.595744681,0.935555763,0.869874918,0.842001185
46,1957,0.613259669,0.944503968,0.869099659,0.844220313
46,1958,0.622222222,0.956588123,0.87387493,0.852987841
46,1959,0.523148148,0.890347394,0.905369937,0.847033698
46,1960,0.55721393,0.878153067,0.87099218,0.824573893
46,1961,0.650887574,0.92054865,0.867665363,0.8275494
