"","STUDY_ID","LATITUDE","LONGITUDE"
"95",2.13,"-22.4510277777778","-52.3453611111111"
"96",2.13,"-22.4752222222222","-52.3419166666667"
"97",2.13,"-22.6045","-52.3002222222222"
"98",2.13,"-22.6167777777778","-52.1693055555556"
"99",2.13,"-22.6188333333333","-52.1671944444444"
"100",2.13,"-22.6195833333333","-52.1655"
"101",2.14,"-22.3695","-52.328611"
"102",2.14,"-22.604528","-52.301167"
"103",2.14,"-22.628806","-52.234139"
"104",2.14,"-22.616944","-52.169111"
"105",2.14,"-22.617278","-52.167056"
"106",2.14,"-22.618556","-52.168306"
"107",2.15,"-22.4752222222222","-52.3419166666667"
"108",2.15,"-22.6045","-52.3002222222222"
"109",2.15,"-22.4510277777778","-52.3453611111111"
"110",2.15,"-22.6188333333333","-52.1671944444444"
"111",2.15,"-22.6195833333333","-52.1655"
"112",2.16,"-22.604528","-52.301167"
"113",2.16,"-22.3695","-52.328611"
"114",2.16,"-22.628806","-52.234139"
"115",2.16,"-22.618556","-52.168306"
"116",2.16,"-22.616944","-52.169111"
"117",2.16,"-22.617278","-52.167056"
"118",2.17,"-0.590573933","-52.7310658"
"119",2.17,"-0.590762677","-52.59007035"
"120",2.17,"-0.595305917","-52.7399898"
"121",2.17,"-0.62458677","-52.59858814"
"122",2.17,"-0.625297362","-52.57443403"
"123",2.17,"-0.646227227","-52.56975697"
"124",2.17,"-0.647892884","-52.56932293"
"125",2.17,"-0.686618078","-52.82252047"
"126",2.17,"-0.697737567","-52.81472563"
"127",2.17,"-0.767675353","-52.59260275"
"128",2.17,"-0.768612956","-52.5650533"
"129",2.17,"-0.785339834","-52.64595629"
"130",2.17,"-0.786941848","-52.62638692"
"131",2.17,"-0.793392688","-52.66115507"
"132",2.17,"-0.795755627","-52.62012385"
"133",2.17,"-0.79657736","-52.59634995"
"134",2.17,"-0.812282709","-52.72499105"
"135",2.17,"-0.822006107","-52.59827433"
"136",2.17,"-0.823734079","-52.66801616"
